Grade,How It May Appear
Authentic,PSA Authentic|PSA A|PSA Auth
1,PSA 1|PSA PR|PSA Poor
1 (Q),PSA 1 Q|PSA 1 OC|PSA 1 ST|PSA 1 PD|PSA 1 OF|PSA 1 MK|PSA 1 MC|PSA 1 (Q)|PSA 1 (OC)|PSA 1 (ST)|PSA 1 (PD)|PSA 1 (OF)|PSA 1 (MK)|PSA 1 (MC)|PSA PR Q|PSA PR OC|PSA PR ST|PSA PR PD|PSA PR OF|PSA PR MK|PSA PR MC|PSA PR (Q)|PSA PR (OC)|PSA PR (ST)|PSA PR (PD)|PSA PR (OF)|PSA PR (MK)|PSA PR (MC)|PSA Poor Q|PSA Poor OC|PSA Poor ST|PSA Poor PD|PSA Poor OF|PSA Poor MK|PSA Poor MC|PSA Poor (Q)|PSA Poor (OC)|PSA Poor (ST)|PSA Poor (PD)|PSA Poor (OF)|PSA Poor (MK)|PSA Poor (MC)
1.5,PSA 1.5|PSA FR|PSA Fair
1.5 (Q),PSA 1.5 Q|PSA 1.5 OC|PSA 1.5 ST|PSA 1.5 PD|PSA 1.5 OF|PSA 1.5 MK|PSA 1.5 MC|PSA 1.5 (Q)|PSA 1.5 (OC)|PSA 1.5 (ST)|PSA 1.5 (PD)|PSA 1.5 (OF)|PSA 1.5 (MK)|PSA 1.5 (MC)|PSA FR Q|PSA FR OC|PSA FR ST|PSA FR PD|PSA FR OF|PSA FR MK|PSA FR MC|PSA FR (Q)|PSA FR (OC)|PSA FR (ST)|PSA FR (PD)|PSA FR (OF)|PSA FR (MK)|PSA FR (MC)|PSA Fair Q|PSA Fair OC|PSA Fair ST|PSA Fair PD|PSA Fair OF|PSA Fair MK|PSA Fair MC|PSA Fair (Q)|PSA Fair (OC)|PSA Fair (ST)|PSA Fair (PD)|PSA Fair (OF)|PSA Fair (MK)|PSA Fair (MC)
2,PSA 2|PSA GD|PSA Good
2 (Q),PSA 2 Q|PSA 2 OC|PSA 2 ST|PSA 2 PD|PSA 2 OF|PSA 2 MK|PSA 2 MC|PSA 2 (Q)|PSA 2 (OC)|PSA 2 (ST)|PSA 2 (PD)|PSA 2 (OF)|PSA 2 (MK)|PSA 2 (MC)|PSA GD Q|PSA GD OC|PSA GD ST|PSA GD PD|PSA GD OF|PSA GD MK|PSA GD MC|PSA GD (Q)|PSA GD (OC)|PSA GD (ST)|PSA GD (PD)|PSA GD (OF)|PSA GD (MK)|PSA GD (MC)|PSA Good Q|PSA Good OC|PSA Good ST|PSA Good PD|PSA Good OF|PSA Good MK|PSA Good MC|PSA Good (Q)|PSA Good (OC)|PSA Good (ST)|PSA Good (PD)|PSA Good (OF)|PSA Good (MK)|PSA Good (MC)
2.5,PSA 2.5|PSA GD+|PSA Good+
2.5 (Q),PSA 2.5 Q|PSA 2.5 OC|PSA 2.5 ST|PSA 2.5 PD|PSA 2.5 OF|PSA 2.5 MK|PSA 2.5 MC|PSA 2.5 (Q)|PSA 2.5 (OC)|PSA 2.5 (ST)|PSA 2.5 (PD)|PSA 2.5 (OF)|PSA 2.5 (MK)|PSA 2.5 (MC)|PSA GD+ Q|PSA GD+ OC|PSA GD+ ST|PSA GD+ PD|PSA GD+ OF|PSA GD+ MK|PSA GD+ MC|PSA GD+ (Q)|PSA GD+ (OC)|PSA GD+ (ST)|PSA GD+ (PD)|PSA GD+ (OF)|PSA GD+ (MK)|PSA GD+ (MC)|PSA Good+ Q|PSA Good+ OC|PSA Good+ ST|PSA Good+ PD|PSA Good+ OF|PSA Good+ MK|PSA Good+ MC|PSA Good+ (Q)|PSA Good+ (OC)|PSA Good+ (ST)|PSA Good+ (PD)|PSA Good+ (OF)|PSA Good+ (MK)|PSA Good+ (MC)
3,PSA 3|PSA VG|PSA Very Good
